order_id,order_date,region,category,product,units,unit_price,discount,revenue,month
O0001,2025-11-24,Jakarta,Electronics,Wireless Earbuds,3,50.12,0.0,150.36,2025-11
O0002,2025-12-13,Jakarta,Sports,Yoga Mat,5,80.57,0.0,402.85,2025-12
O0003,2025-04-22,Central Java,Home,Desk Lamp,5,42.2,0.15,179.35,2025-04
O0004,2025-04-23,Central Java,Fashion,Backpack,1,138.51,0.0,138.51,2025-04
O0005,2025-06-24,Jakarta,Beauty,Moisturizer,2,172.64,0.05,328.02,2025-06
O0006,2025-02-17,Banten,Fashion,T-Shirt,3,153.77,0.15,392.11,2025-02
O0007,2025-01-23,East Java,Fashion,T-Shirt,4,21.55,0.05,81.89,2025-01
O0008,2025-07-05,Banten,Sports,Resistance Band,1,15.88,0.0,15.88,2025-07
O0009,2025-02-10,West Java,Home,Desk Lamp,4,55.81,0.05,212.08,2025-02
O0010,2025-07-09,East Java,Beauty,Moisturizer,3,128.71,0.0,386.13,2025-07
O0011,2025-11-22,East Java,Home,Storage Box,2,87.51,0.05,166.27,2025-11
O0012,2025-04-23,Central Java,Beauty,Face Wash,2,149.35,0.05,283.76,2025-04
O0013,2025-05-18,West Java,Electronics,Power Bank,5,158.74,0.05,754.01,2025-05
O0014,2025-12-02,West Java,Fashion,Cap,4,32.57,0.0,130.28,2025-12
O0015,2025-10-15,Central Java,Sports,Dumbbell,5,81.69,0.15,347.18,2025-10
O0016,2025-07-05,Jakarta,Home,Storage Box,5,92.88,0.0,464.4,2025-07
O0017,2025-03-20,East Java,Home,Pillow,5,18.93,0.1,85.19,2025-03
O0018,2025-08-28,Jakarta,Sports,Dumbbell,5,156.05,0.0,780.25,2025-08
O0019,2025-12-16,West Java,Sports,Dumbbell,3,27.19,0.1,73.41,2025-12
O0020,2025-08-21,Jakarta,Electronics,Keyboard,5,139.06,0.15,591.0,2025-08
O0021,2025-11-17,East Java,Beauty,Moisturizer,2,72.31,0.0,144.62,2025-11
O0022,2025-09-29,Banten,Electronics,Keyboard,4,11.35,0.05,43.13,2025-09
O0023,2025-05-03,Central Java,Electronics,Power Bank,5,170.88,0.0,854.4,2025-05
O0024,2025-02-05,West Java,Sports,Resistance Band,2,121.48,0.15,206.52,2025-02
O0025,2025-05-16,Banten,Sports,Running Bottle,2,167.77,0.0,335.54,2025-05
O0026,2025-07-24,West Java,Beauty,Lip Balm,5,85.66,0.0,428.3,2025-07
O0027,2025-02-02,West Java,Beauty,Face Wash,5,103.27,0.15,438.9,2025-02
O0028,2025-01-04,Banten,Electronics,Wireless Earbuds,2,19.59,0.0,39.18,2025-01
O0029,2025-02-06,East Java,Sports,Resistance Band,3,123.06,0.0,369.18,2025-02
O0030,2025-03-09,West Java,Sports,Running Bottle,2,142.95,0.1,257.31,2025-03
O0031,2025-02-18,Jakarta,Electronics,Smart Watch,3,80.86,0.1,218.32,2025-02
O0032,2025-12-11,West Java,Electronics,Wireless Earbuds,4,133.25,0.0,533.0,2025-12
O0033,2025-04-09,Central Java,Home,Pillow,2,80.56,0.05,153.06,2025-04
O0034,2025-05-08,Jakarta,Electronics,Smart Watch,5,24.84,0.15,105.57,2025-05
O0035,2025-02-17,Central Java,Home,Storage Box,4,91.53,0.0,366.12,2025-02
O0036,2025-01-31,Central Java,Home,Pillow,1,177.47,0.05,168.6,2025-01
O0037,2025-05-27,Jakarta,Fashion,Cap,2,40.66,0.0,81.32,2025-05
O0038,2025-10-24,Central Java,Sports,Yoga Mat,3,17.83,0.15,45.47,2025-10
O0039,2025-09-15,West Java,Sports,Resistance Band,1,173.25,0.0,173.25,2025-09
O0040,2025-02-05,West Java,Sports,Yoga Mat,2,77.45,0.15,131.66,2025-02
O0041,2025-10-24,East Java,Sports,Yoga Mat,5,22.1,0.15,93.92,2025-10
O0042,2025-09-25,West Java,Beauty,Sunscreen,2,123.19,0.05,234.06,2025-09
O0043,2025-05-16,Jakarta,Fashion,Sneakers,3,86.64,0.0,259.92,2025-05
O0044,2025-08-23,Banten,Sports,Yoga Mat,1,100.47,0.15,85.4,2025-08
O0045,2025-03-09,Central Java,Beauty,Face Wash,2,71.56,0.0,143.12,2025-03
O0046,2025-10-06,West Java,Beauty,Face Wash,5,59.49,0.0,297.45,2025-10
O0047,2025-05-16,East Java,Electronics,Wireless Earbuds,5,34.74,0.05,165.02,2025-05
O0048,2025-04-18,Jakarta,Beauty,Moisturizer,3,94.93,0.05,270.55,2025-04
O0049,2025-02-17,Banten,Fashion,Backpack,1,8.61,0.0,8.61,2025-02
O0050,2025-03-24,West Java,Fashion,Cap,5,9.66,0.0,48.3,2025-03
O0051,2025-10-07,West Java,Electronics,Keyboard,5,103.03,0.1,463.63,2025-10
O0052,2025-01-22,West Java,Beauty,Sunscreen,1,162.62,0.0,162.62,2025-01
O0053,2025-12-08,East Java,Electronics,Keyboard,5,160.07,0.1,720.31,2025-12
O0054,2025-03-21,West Java,Home,Storage Box,2,159.6,0.0,319.2,2025-03
O0055,2025-06-20,Central Java,Fashion,Sneakers,3,35.38,0.0,106.14,2025-06
O0056,2025-01-20,Banten,Fashion,Sneakers,2,148.45,0.1,267.21,2025-01
O0057,2025-06-06,Banten,Home,Storage Box,1,121.53,0.1,109.38,2025-06
O0058,2025-05-23,East Java,Electronics,Keyboard,3,118.33,0.1,319.49,2025-05
O0059,2025-06-19,Jakarta,Electronics,Wireless Earbuds,3,38.71,0.05,110.32,2025-06
O0060,2025-02-25,Central Java,Sports,Running Bottle,3,133.31,0.05,379.93,2025-02
O0061,2025-11-07,Banten,Sports,Yoga Mat,4,162.71,0.0,650.84,2025-11
O0062,2025-01-23,West Java,Fashion,T-Shirt,5,167.2,0.15,710.6,2025-01
