application_id,application_date,age,monthly_income,requested_amount,credit_score,channel,status,processing_hours
A00001,2025-06-15,30,1593.69,383.49,789,Mobile App,Rejected,10.7
A00002,2025-07-07,58,532.7,2128.26,682,Web,Approved,20.9
A00003,2025-08-03,25,1108.09,2293.98,628,Partner,Approved,18.0
A00004,2025-03-05,35,2336.47,2415.39,679,Partner,Approved,5.7
A00005,2025-07-23,24,3425.2,377.01,746,Web,Rejected,18.2
A00006,2025-08-03,30,2053.16,2369.47,639,Partner,Approved,16.8
A00007,2025-04-03,27,2182.04,2627.87,712,Partner,Approved,16.2
A00008,2025-12-31,25,2127.76,2552.24,664,Partner,Approved,7.8
A00009,2025-08-07,41,1816.65,3709.08,716,Mobile App,Approved,18.9
A00010,2025-04-03,36,607.84,1340.95,697,Web,Rejected,3.3
A00011,2025-08-18,39,2268.22,478.16,787,Mobile App,Approved,19.1
A00012,2025-06-25,30,3289.8,1802.45,654,Mobile App,Rejected,28.2
A00013,2025-10-13,57,2835.65,3309.74,677,Web,Approved,7.8
A00014,2025-11-01,52,2176.67,1933.58,653,Web,Rejected,1.0
A00015,2025-08-31,25,541.11,2865.67,748,Partner,Rejected,11.1
A00016,2025-08-17,39,2607.38,3570.75,631,Web,Approved,25.5
A00017,2025-07-01,31,2274.4,2076.03,572,Web,Approved,21.7
A00018,2025-03-08,36,1603.38,3683.9,545,Mobile App,Rejected,9.4
A00019,2025-08-18,46,2080.74,3556.86,601,Partner,Rejected,24.2
A00020,2025-05-23,47,3457.37,2794.35,794,Mobile App,Approved,15.7
A00021,2025-03-19,26,905.09,1081.44,734,Web,Approved,16.7
A00022,2025-10-29,32,1177.65,215.56,716,Web,Approved,12.7
A00023,2025-11-09,57,1353.63,676.87,568,Partner,Rejected,1.4
A00024,2025-12-02,24,1788.43,3509.72,704,Partner,Rejected,29.7
A00025,2025-10-14,46,1603.92,1697.66,697,Web,Approved,14.3
A00026,2025-02-01,33,562.14,993.3,804,Web,Approved,19.7
A00027,2025-11-04,24,672.5,2353.78,686,Web,Rejected,15.8
A00028,2025-11-11,22,571.49,990.22,671,Partner,Rejected,11.8
A00029,2025-05-10,43,2247.18,2001.78,586,Web,Approved,21.5
A00030,2025-08-27,51,1874.08,526.36,673,Web,Approved,26.4
A00031,2025-05-16,51,2960.89,813.47,656,Partner,Approved,4.7
A00032,2025-07-05,30,2523.71,3673.75,673,Web,Rejected,25.9
A00033,2025-11-26,26,2543.02,1192.24,655,Mobile App,Approved,11.8
A00034,2025-07-02,35,2027.67,3160.41,602,Mobile App,Rejected,6.6
A00035,2025-11-10,33,2889.15,3309.67,660,Mobile App,Rejected,5.7
A00036,2025-04-13,54,1902.26,2977.82,777,Web,Rejected,12.0
A00037,2025-08-30,37,959.98,2499.53,687,Partner,Rejected,24.1
A00038,2025-06-28,44,603.7,588.2,777,Web,Rejected,12.5
A00039,2025-04-15,51,2315.81,3621.17,701,Web,Rejected,19.1
A00040,2025-12-01,43,2868.88,522.16,667,Web,Rejected,1.6
A00041,2025-12-31,33,1855.8,878.38,722,Web,Approved,24.3
A00042,2025-02-14,46,1808.96,3024.74,707,Mobile App,Approved,11.5
A00043,2025-03-29,29,436.78,2445.09,667,Partner,Rejected,9.9
A00044,2025-03-16,51,2420.4,1531.55,660,Mobile App,Approved,27.1
A00045,2025-01-11,21,2867.97,2960.21,779,Partner,Approved,22.7
A00046,2025-03-13,48,3457.63,940.26,715,Mobile App,Rejected,18.7
A00047,2025-05-09,34,1272.84,1114.05,679,Web,Rejected,13.5
A00048,2025-10-06,47,2977.71,431.44,636,Web,Rejected,13.6
A00049,2025-12-06,58,2917.4,2163.69,820,Partner,Rejected,20.1
A00050,2025-03-08,55,828.28,2140.08,657,Mobile App,Rejected,10.7
A00051,2025-11-08,21,2794.52,769.25,623,Partner,Approved,20.6
A00052,2025-03-03,56,544.53,2792.86,705,Web,Rejected,3.9
A00053,2025-02-24,56,528.99,926.96,711,Mobile App,Approved,14.0
A00054,2025-09-17,49,2119.45,3087.97,772,Web,Rejected,15.1
A00055,2025-06-16,53,2259.33,957.73,791,Partner,Approved,14.8
A00056,2025-10-01,51,1949.42,1141.09,661,Web,Approved,20.1
A00057,2025-10-14,33,2996.0,721.11,748,Web,Approved,22.0
A00058,2025-06-11,25,2464.14,1827.69,599,Web,Approved,19.3
A00059,2025-03-04,30,3309.44,2645.14,681,Web,Approved,15.0
A00060,2025-03-12,50,1041.7,3819.52,637,Web,Approved,30.2
A00061,2025-03-25,35,858.62,1839.78,654,Web,Rejected,8.1
A00062,2025-08-04,33,1473.34,550.34,721,Web,Approved,18.9
A00063,2025-10-11,50,1737.44,268.71,675,Partner,Approved,23.5
A00064,2025-06-01,53,3376.44,628.83,711,Mobile App,Rejected,16.5
A00065,2025-02-23,26,1186.53,350.44,742,Web,Rejected,16.0
A00066,2025-03-08,48,3026.2,2768.7,639,Web,Rejected,11.5
A00067,2025-03-18,55,3245.39,2368.26,646,Mobile App,Rejected,15.5
A00068,2025-05-23,24,2868.7,896.71,609,Web,Rejected,1.2
A00069,2025-01-09,26,2875.13,518.22,685,Mobile App,Rejected,4.6
A00070,2025-05-16,28,1779.39,1488.78,553,Web,Rejected,16.6
A00071,2025-11-15,29,486.1,2896.24,633,Mobile App,Rejected,17.5
A00072,2025-05-15,24,920.61,3742.54,645,Partner,Rejected,6.1
A00073,2025-04-16,39,1753.91,2754.2,599,Mobile App,Approved,14.4
A00074,2025-05-09,23,398.34,2985.71,662,Mobile App,Rejected,8.2
A00075,2025-09-21,51,1123.89,1898.81,661,Partner,Rejected,3.2
A00076,2025-08-10,52,2069.6,3577.16,680,Web,Rejected,1.4
A00077,2025-12-19,34,3444.69,1502.28,667,Partner,Rejected,18.9
A00078,2025-11-22,29,1624.8,1520.7,750,Mobile App,Approved,30.0
A00079,2025-01-08,25,2320.16,3543.45,578,Mobile App,Rejected,19.3
A00080,2025-02-13,45,3092.19,2748.06,758,Mobile App,Approved,24.9
A00081,2025-12-21,39,492.5,904.34,619,Mobile App,Approved,20.9
A00082,2025-05-15,44,3379.63,3895.97,800,Mobile App,Approved,7.5
A00083,2025-01-18,40,1036.28,895.24,710,Mobile App,Approved,25.8
A00084,2025-09-01,38,1933.71,963.72,634,Mobile App,Approved,22.1
A00085,2025-02-16,37,2923.69,746.69,610,Web,Rejected,8.3
A00086,2025-01-12,40,1308.37,1084.68,626,Partner,Rejected,15.3
A00087,2025-03-21,45,2757.58,2938.57,674,Web,Approved,24.7
A00088,2025-11-13,30,487.93,3374.1,618,Partner,Rejected,13.1
A00089,2025-08-08,53,788.82,2190.28,742,Mobile App,Rejected,17.9
